6/1/2020,6
6/2/2020,7
6/3/2020,6
6/4/2020,5
6/5/2020,4
6/6/2020,6
6/7/2020,7
6/8/2020,7
6/9/2020,8
6/10/2020,6
6/11/2020,5
6/12/2020,4
6/13/2020,6
6/14/2020,4
6/15/2020,5
6/16/2020,8
6/17/2020,5
6/18/2020,3
6/19/2020,5
6/20/2020,6
6/21/2020,4
6/22/2020,4
6/23/2020,5
6/24/2020,6
6/25/2020,4
6/26/2020,5
6/27/2020,6
6/28/2020,4
6/29/2020,4
6/30/2020,5
7/1/2020,5
7/2/2020,6
7/3/2020,6
7/4/2020,4
7/5/2020,5
7/6/2020,5
7/7/2020,4
7/8/2020,6
7/9/2020,7
7/10/2020,6
7/11/2020,5
7/12/2020,4
7/13/2020,5
7/14/2020,6
7/15/2020,3
7/16/2020,4
7/17/2020,2
7/18/2020,4
7/19/2020,6
7/20/2020,3
7/21/2020,4
7/22/2020,5
7/23/2020,7
7/24/2020,6
7/25/2020,5
7/26/2020,4
7/27/2020,5
7/28/2020,6
7/29/2020,4
7/30/2020,3
7/31/2020,2
8/1/2020,4
8/2/2020,5
8/3/2020,3
8/4/2020,4
8/5/2020,6
8/6/2020,4
8/7/2020,3
8/8/2020,3
8/9/2020,2
8/10/2020,3
8/11/2020,4
8/12/2020,4
8/13/2020,6
8/14/2020,4
8/15/2020,6
8/16/2020,7
8/17/2020,5
8/18/2020,6
8/19/2020,8
8/20/2020,6
8/21/2020,5
8/22/2020,4
8/23/2020,7
8/24/2020,8
8/25/2020,7
8/26/2020,4
8/27/2020,3
8/28/2020,5
8/29/2020,6
8/30/2020,7
8/31/2020,5
9/1/2020,4
9/2/2020,4
9/3/2020,3
9/4/2020,5
9/5/2020,6
9/6/2020,7
9/7/2020,5
9/8/2020,4
9/9/2020,8
9/10/2020,7
9/11/2020,6
9/12/2020,4
9/13/2020,4
9/14/2020,5
9/15/2020,6
9/16/2020,3
9/17/2020,5
9/18/2020,6
9/19/2020,7
9/20/2020,8
9/21/2020,5
9/22/2020,6
9/23/2020,6
9/24/2020,4
9/25/2020,5
9/26/2020,6
9/27/2020,7
9/28/2020,5
9/29/2020,6
9/30/2020,5
10/1/2020,6
10/2/2020,5
10/3/2020,5
10/4/2020,3
10/5/2020,4
10/6/2020,5
10/7/2020,7
10/8/2020,7
10/9/2020,5
10/10/2020,5
10/11/2020,3
10/12/2020,5
10/13/2020,6
10/14/2020,4
10/15/2020,2
10/16/2020,4
10/17/2020,5
10/18/2020,6
10/19/2020,4
10/20/2020,4
10/21/2020,7
10/22/2020,8
10/23/2020,6
10/24/2020,6
10/25/2020,9
10/26/2020,5
10/27/2020,5
10/28/2020,6
10/29/2020,4
10/30/2020,3
10/31/2020,3
11/1/2020,2
11/2/2020,3
11/3/2020,4
11/4/2020,4
11/5/2020,6
11/6/2020,4
11/7/2020,6
11/8/2020,7
11/9/2020,5
11/10/2020,6
11/11/2020,8
11/12/2020,4
11/13/2020,7
11/14/2020,5
11/15/2020,4
11/16/2020,6
11/17/2020,7
11/18/2020,5
11/19/2020,8
11/20/2020,6
11/21/2020,5
11/22/2020,4
11/23/2020,7
11/24/2020,8
11/25/2020,4
11/26/2020,3
11/27/2020,5
11/28/2020,6
11/29/2020,7
11/30/2020,5
12/1/2020,4
12/2/2020,8
12/3/2020,7
12/4/2020,6
12/5/2020,4
12/6/2020,4
12/7/2020,5
12/8/2020,6
12/9/2020,3
12/10/2020,5
12/11/2020,6
12/12/2020,7
12/13/2020,8
12/14/2020,5
12/15/2020,6
12/16/2020,6
12/17/2020,4
12/18/2020,5
12/19/2020,6
12/20/2020,7
12/21/2020,5
12/22/2020,6
12/23/2020,5
12/24/2020,6
12/25/2020,5
12/26/2020,5
12/27/2020,3
12/28/2020,4
12/29/2020,5
12/30/2020,7
12/31/2020,7


